# LAMMPS data file written by Ovito Pro 3.0.0-dev682
960 atoms
2 atom types
0.0 27.8281 xlo xhi
0.0 20.1251 ylo yhi
0.0 17.2972 zlo zhi

Masses

1 51.9961  # Cr
2 15.9994  # O

Atoms  # charge

1	1	3	4.429676958	2.5156375	15.84475412
2	1	3	2.527348042	0	14.39230823
3	1	3	0.208432469	2.5156375	15.84475412
4	1	3	2.110761385	0	0
5	1	3	9.067786385	0	0
6	1	3	7.165457469	2.5156375	15.84475412
7	1	3	4.846263615	0	0
8	1	3	6.748592531	0	14.39230823
9	1	3	13.70561753	0	14.39230823
10	1	3	11.80328862	0	0
11	1	3	9.484373042	0	14.39230823
12	1	3	11.38670196	2.5156375	15.84475412
13	2	-2	3.4785125	19.36255996	15.97638581
14	2	-2	1.159596927	18.60001992	14.39230823
15	2	-2	1.159596927	0.762540039	15.71312242
16	2	-2	1.159596927	0.762540039	13.07166701
17	2	-2	3.4785125	1.525080078	0
18	2	-2	3.4785125	1.753097461	14.26084951
19	2	-2	8.116621927	19.36255996	13.07166701
20	2	-2	5.797428073	0.990557422	15.84475412
21	2	-2	5.797428073	3.278177539	17.16556831
22	2	-2	5.797428073	3.278177539	14.52393992
23	2	-2	8.116621927	1.525080078	14.39230823
24	2	-2	8.116621927	19.36255996	15.71312242
25	2	-2	12.75445307	1.753097461	14.52393992
26	2	-2	10.4355375	3.506194922	0
27	2	-2	10.4355375	18.37200254	14.26084951
28	2	-2	10.4355375	0.762540039	15.97638581
29	2	-2	12.75445307	4.040717578	15.84475412
30	2	-2	12.75445307	1.753097461	17.16556831
31	1	3	4.429676958	0	11.48758944
32	1	3	2.527348042	17.6094625	10.03514355
33	1	3	0.208432469	0	11.48758944
34	1	3	2.110761385	17.6094625	12.94003532
35	1	3	9.067786385	17.6094625	12.94003532
36	1	3	7.165457469	0	11.48758944
37	1	3	4.846263615	17.6094625	12.94003532
38	1	3	6.748592531	17.6094625	10.03514355
39	1	3	13.70561753	17.6094625	10.03514355
40	1	3	11.80328862	17.6094625	12.94003532
41	1	3	9.484373042	17.6094625	10.03514355
42	1	3	11.38670196	0	11.48758944
43	2	-2	3.4785125	16.84692246	11.61922113
44	2	-2	1.159596927	16.08438242	10.03514355
45	2	-2	1.159596927	18.37200254	11.35595774
46	2	-2	1.159596927	18.37200254	8.71432936
47	2	-2	3.4785125	19.13454258	12.94003532
48	2	-2	3.4785125	19.36255996	9.90351186
49	2	-2	8.116621927	16.84692246	8.71432936
50	2	-2	5.797428073	18.60001992	11.48758944
51	2	-2	5.797428073	0.762540039	12.80840363
52	2	-2	5.797428073	0.762540039	10.16677524
53	2	-2	8.116621927	19.13454258	10.03514355
54	2	-2	8.116621927	16.84692246	11.35595774
55	2	-2	12.75445307	19.36255996	10.16677524
56	2	-2	10.4355375	0.990557422	12.94003532
57	2	-2	10.4355375	15.85636504	9.90351186
58	2	-2	10.4355375	18.37200254	11.61922113
59	2	-2	12.75445307	1.525080078	11.48758944
60	2	-2	12.75445307	19.36255996	12.80840363
61	1	3	4.429676958	17.6094625	7.130424756
62	1	3	2.527348042	15.093825	5.677978872
63	1	3	0.208432469	17.6094625	7.130424756
64	1	3	2.110761385	15.093825	8.58287064
65	1	3	9.067786385	15.093825	8.58287064
66	1	3	7.165457469	17.6094625	7.130424756
67	1	3	4.846263615	15.093825	8.58287064
68	1	3	6.748592531	15.093825	5.677978872
69	1	3	13.70561753	15.093825	5.677978872
70	1	3	11.80328862	15.093825	8.58287064
71	1	3	9.484373042	15.093825	5.677978872
72	1	3	11.38670196	17.6094625	7.130424756
73	2	-2	3.4785125	14.33128496	7.262056448
74	2	-2	1.159596927	13.56874492	5.677978872
75	2	-2	1.159596927	15.85636504	6.998793064
76	2	-2	1.159596927	15.85636504	4.35716468
77	2	-2	3.4785125	16.61890508	8.58287064
78	2	-2	3.4785125	16.84692246	5.54634718
79	2	-2	8.116621927	14.33128496	4.35716468
80	2	-2	5.797428073	16.08438242	7.130424756
81	2	-2	5.797428073	18.37200254	8.451238948
82	2	-2	5.797428073	18.37200254	5.809610564
83	2	-2	8.116621927	16.61890508	5.677978872
84	2	-2	8.116621927	14.33128496	6.998793064
85	2	-2	12.75445307	16.84692246	5.809610564
86	2	-2	10.4355375	18.60001992	8.58287064
87	2	-2	10.4355375	13.34072754	5.54634718
88	2	-2	10.4355375	15.85636504	7.262056448
89	2	-2	12.75445307	19.13454258	7.130424756
90	2	-2	12.75445307	16.84692246	8.451238948
91	1	3	4.429676958	15.093825	2.773260076
92	1	3	2.527348042	12.5781875	1.320814192
93	1	3	0.208432469	15.093825	2.773260076
94	1	3	2.110761385	12.5781875	4.225532988
95	1	3	9.067786385	12.5781875	4.225532988
96	1	3	7.165457469	15.093825	2.773260076
97	1	3	4.846263615	12.5781875	4.225532988
98	1	3	6.748592531	12.5781875	1.320814192
99	1	3	13.70561753	12.5781875	1.320814192
100	1	3	11.80328862	12.5781875	4.225532988
101	1	3	9.484373042	12.5781875	1.320814192
102	1	3	11.38670196	15.093825	2.773260076
103	2	-2	3.4785125	11.81564746	2.904718796
104	2	-2	1.159596927	11.05310742	1.320814192
105	2	-2	1.159596927	13.34072754	2.641628384
106	2	-2	1.159596927	13.34072754	0
107	2	-2	3.4785125	14.10326758	4.225532988
108	2	-2	3.4785125	14.33128496	1.1891825
109	2	-2	8.116621927	11.81564746	0
110	2	-2	5.797428073	13.56874492	2.773260076
111	2	-2	5.797428073	15.85636504	4.093901296
112	2	-2	5.797428073	15.85636504	1.452445884
