# LAMMPS data file written by OVITO Basic 3.0.0-dev806
5660 atoms
4 atom types
0.0 22.6439 xlo xhi
0.0 22.6439 ylo yhi
0.0 120.7734 zlo zhi

Masses

1 51.996  # Cr
2 55.845  # Fe
3 15.999  # O
4 51.996  # Cr

Atoms  # charge

1	1	3	2.7338	3.39006	38.7834
2	1	3	4.18057	1.42035	41.7441
3	1	3	1.27721	0.0268596	41.0356
4	1	3	1.57138	1.58397	43.7634
5	1	3	22.2868	21.757	43.9382
6	1	3	1.51385	3.19901	2.18158
7	1	3	1.38533	2.6909	46.6661
8	1	3	3.76977	1.22451	1.6655
9	1	3	4.66802	0.964881	46.5646
10	1	3	1.11775	0.55838	3.54454
11	1	3	22.154	21.4513	48.3564
12	1	3	3.45438	1.32405	5.53768
13	1	3	2.42001	0.693594	48.9621
14	1	3	21.7263	0.172945	6.42652
15	1	3	0.326026	0.529367	51.2573
16	1	3	1.35232	2.42287	6.26451
17	1	3	2.32439	3.06717	51.1051
18	1	3	4.02761	1.5998	9.09921
19	1	3	3.8878	1.3768	53.7733
20	3	-2	1.51647	22.2543	42.9759
21	3	-2	21.9393	1.01348	43.5552
22	3	-2	4.04069	3.06319	42.5023
23	3	-2	2.11543	1.67608	41.8219
24	3	-2	3.47422	0.059111	40.5624
25	3	-2	4.1573	2.36132	39.7655
26	3	-2	5.48117	1.48056	0.876217
27	3	-2	4.51373	1.31568	48.805
28	3	-2	3.16158	3.48604	1.17016
29	3	-2	2.20465	2.82236	48.828
30	3	-2	3.08432	1.7214	3.32968
31	3	-2	2.70567	1.14684	47.046
32	3	-2	21.1843	1.63521	61.3448
33	3	-2	-0.0756038	4.42494	46.3592
34	3	-2	1.22551	1.9477	62.7708
35	3	-2	0.905928	0.788985	45.3572
36	3	-2	2.87969	4.07735	63.1392
37	3	-2	2.10412	3.50937	45.0255
38	3	-2	3.67859	2.23694	7.14362
39	3	-2	2.7432	2.70905	53.0887
40	3	-2	1.9713	4.27307	8.02651
41	3	-2	1.36086	3.81732	54.7958
42	3	-2	1.17635	2.0206	8.10616
43	3	-2	0.422036	2.52966	52.1114
